tf_id,bdgi,NA,prop_gi,sum_areas,check,built,description,oslandusetiera,oslandusetierb,capturespecification,planted_by,plant_date,area,class_area,feature,trees,tf_age,elevation
151,856143.959050566,474652.811776224,0.643331857890417,1330796.77082679,0,0.57639423134437,,,,,"School Children, Earthwatch

",2022-02-25,175,35,Yes,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Wild service tree(Sorbus torminalis)",622,30.4168682098389
153,1825942.67661416,203041.158635356,0.899929632209028,2028983.83524952,0,0.354154386332973,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Local Residents

",2021-10-14,200,40,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",756,43.3184432983398
154,649897.230377205,404470.394605259,0.616385798442943,1054367.62498246,0,0.66438436129596,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Local Residents, School Children

",2022-01-09,200,60,No,"Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",669,43.805290222168
155,424271.513270532,1143442.28845373,0.270630718951313,1567713.80172425,0,0.500981198204395,Bare Earth Or Grass,Education,"[""School""]",Rural,"Volunteer Group, Local Residents, School Children

",2022-03-17,200,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",602,168.226867675781
156,794620.637322228,320390.281424344,0.712657269953457,1115010.91874657,0,0.645081001360094,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Volunteer Group, Local Residents, School Children

",2022-03-25,200,,No,"Bilberry(Vaccinium myrtillus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Gorse(Ulex europaeus) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia)",594,24.3438453674316
161,1020966.10873736,60399.2926524754,0.944145343863557,1081365.40138983,0,0.655790702160514,Scattered Non-Coniferous Trees,Unknown Or Unused Natural,[],Urban,"Corporate Employees, School Children

",2022-03-16,100,1,,"Alder(Alnus glutinosa) | Alder, grey(Alnus incana) | Apple, crab(Malus sylvestris) | Ash(Fraxinus excelsior) | Birch, silver(Betula pendula) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, english(Ulmus procera) | Gorse(Ulex europaeus) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Juniper(Juniperus communis) | Oak, english(Quercus robur) | Pine, scots(Pinus sylvestris) | Rowan(Sorbus aucuparia) | Whitebeam(Sorbus aria) | Willow, common osier(Salix viminalis)",603,24.1148109436035
164,2367035.25304208,2059063.76377199,0.534790397605221,2355807.003695,0,0.250123340782868,Heath Or Rough Grassland And Scrub,Unknown Or Unused Natural,[],Rural,"Landscape contractors

",2021-03-26,202,21,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Elder(Sambucus nigra) | Elm, wych(Ulmus glabra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",958,80.546630859375
165,763407.03072049,869299.090297208,0.467571610648855,1632706.12101769,0,0.480293500447281,Residential Garden,Residential Accommodation,"[""Residential Garden""]",Urban,"School Children

",2022-03-15,202,55,Yes,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Broom(Cytisus scoparius) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",604,26.6597080230713
167,1673029.06722559,1211891.16336325,0.579922123837756,953062.579295999,0,0.696630758858261,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Local Residents, School Children

",2022-01-26,201,2,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Common privet(Ligustrum vulgare) | Dog Rose(Rosa canina) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Spindle(Euonymus europaea) | Whitebeam(Sorbus aria) | Wild service tree(Sorbus torminalis)",652,119.783432006836
168,955102.225390104,268311.51025441,0.780686204153937,1223413.73564451,0,0.610575313051309,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Local Residents, School Children, Earthwatch

",2022-02-28,208,41,No,"Apple, crab(Malus sylvestris) | Beech, common(Fagus sylvatica) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",619,55.3811073303223
170,213696.897515514,1204659.80288801,0.150665130608342,1418356.70040352,0,0.548523040126537,Bare Earth Or Grass,Unknown Or Unused Natural,[],Rural,"Landscape contractors

",2022-03-21,204,18,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Common privet(Ligustrum vulgare) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Guelder, rose(Viburnum opulus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Maple, field(Acer campestre) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Spindle(Euonymus europaea) | Willow, goat(Salix caprea)",598,5.92905235290527
171,874685.973319294,323312.000447011,0.73012308240341,1197997.9737663,0,0.618665401322036,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Local Residents, Earthwatch, Landscape contractors

",2022-02-23,205,,No,"Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",624,51.0746536254883
172,273230.652340855,393822.763958739,0.409608354690052,667053.416299594,0,0.787670302979167,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Local Residents, School Children

",2022-03-25,200,19,No,"Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Elder(Sambucus nigra) | Gorse(Ulex europaeus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Heather(Calluna vulgaris) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea)",594,11.8552618026733
174,2495119.00082918,1034006.80713103,0.707007666091487,1302627.104253,0,0.585360914705306,Bare Earth Or Grass,Education,"[""School""]",Urban,"Corporate Employees, Volunteer Group, School Children, Earthwatch, Landscape contractors

",2022-02-02,201,16,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",645,135.467697143555
175,1215508.71059905,1551807.27598163,0.439237411446079,2767315.9865807,0,0.119135963276915,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-21,204,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Buckthorn, purging(Rhamnus cathartica) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pear, common(Pyrus communis) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",657,91.7201232910156
176,1998370.80321277,1634859.54057417,0.550025903705807,1508485.719072,0,0.519834082452317,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-18,205,,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",660,91.1442184448242
177,1926268.27962933,1286449.1901916,0.599575996869933,1225991.399526,0,0.609754817154572,,,,,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-17,209,,Yes,"Alder(Alnus glutinosa) | Birch, downy(Betula pubescens) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",661,91.0101623535156
179,1111240.02723838,982020.074573738,0.530865718157237,2093260.10181212,0,0.333694615239115,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-19,201,15,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Buckthorn, purging(Rhamnus cathartica) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pear, common(Pyrus communis) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",659,153.895477294922
180,1802045.53802105,936441.871356516,0.658044120214027,2738487.40937756,0,0.128312384405285,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-20,207,,No,"Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",658,165.237365722656
181,1439226.06517713,1509061.55728003,0.488156601213029,572545.286142,0,0.817753175133074,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-10,201,,No,"Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",668,129.302993774414
182,2469124.22024109,1158168.54592305,0.680707177339917,1724754.31172501,0,0.450993651339811,Non-Coniferous Trees And Scrub,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-11,205,16,No,"Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",667,127.117317199707
183,2230511.35864331,506438.430035152,0.814962469486996,2736949.78867846,0,0.128801824275008,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-13,210,30,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Buckthorn, purging(Rhamnus cathartica) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pear, common(Pyrus communis) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",665,125.784591674805
184,2233844.81801462,414903.275400621,0.843358726172539,2648748.09341522,0,0.156877295855468,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-13,210,30,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",665,137.947814941406
185,1526154.49922376,1246842.63725772,0.550362811106333,642517.730541999,0,0.795480254320109,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-14,204,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea) | Willow, grey(Salix cinerea subsp. Oleifolia)",664,129.004119873047
186,2308733.05188921,1193979.7504388,0.659127134361332,1588376.385103,0,0.494404093640842,Made Surface,Unknown Or Unused Artificial,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-11,206,,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Buckthorn, purging(Rhamnus cathartica) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Pear, common(Pyrus communis) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",667,130.531295776367
187,1161831.03674422,182723.332458315,0.864101194683047,1344554.36920254,0,0.572015051771222,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Volunteer Group, School Children, Earthwatch, Landscape contractors

",2022-01-24,210,14,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",654,126.585540771484
188,426557.734329531,1941365.05419878,0.18014005203043,2367922.78852831,0,0.246266766691549,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-10,205,21,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",668,208.892715454102
189,766448.985558684,1510989.63191929,0.336539909210571,2277438.61747797,0,0.275068772880018,Arable Or Grazing Land,Agriculture Or Aquaculture,"[""Agriculture""]",Rural,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-12,202,,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis) | Willow, grey(Salix cinerea subsp. Oleifolia)",666,145.971923828125
190,2483606.03586803,468675.728473209,0.841249661826304,2952281.76434123,0,0.0602595276100629,Bare Earth Or Grass,Attraction Or Activity,"[""Outdoor Amenity""]",Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-12,205,25,Yes,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Wild service tree(Sorbus torminalis)",666,133.724975585938
191,805009.072958139,136886.154650816,0.854669446623795,941895.227608954,0,0.700185437302738,Scrub,Sports Attraction Or Facility,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-01-29,205,28,No,"Alder buckthorn(Frangula alnus) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",649,103.699653625488
192,1679921.53007534,227648.529051568,0.880660462265925,1907570.05912691,0,0.392801591591705,Bare Earth Or Grass,Education,"[""School""]",Urban,"Corporate Employees, Volunteer Group, School Children, Earthwatch, Landscape contractors

",2022-01-26,201,16,No,"Alder(Alnus glutinosa) | Alder buckthorn(Frangula alnus) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Dog Rose(Rosa canina) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Willow, goat(Salix caprea)",652,160.228866577148
194,895225.268934794,735700.350303855,0.548906251992476,1630925.61923865,0,0.480860251765916,Bare Earth Or Grass,Sports Attraction Or Facility,[],Urban,"Local Residents, Earthwatch

",2022-01-31,204,18,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Birch, silver(Betula pendula) | Buckthorn, purging(Rhamnus cathartica) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, english(Quercus robur) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia) | Wild service tree(Sorbus torminalis) | Willow, goat(Salix caprea)",647,160.020721435547
195,1190931.79052473,552055.202629439,0.683270612576161,1742986.99315416,0,0.445190008589271,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Corporate Employees, Volunteer Group, Local Residents, Earthwatch, Landscape contractors

",2022-02-02,200,22,No,"Alder(Alnus glutinosa) | Apple, crab(Malus sylvestris) | Aspen(Populus tremula) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Cherry, wild(Prunus avium) | Dog Rose(Rosa canina) | Dogwood(Cornus sanguinea) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Lime, large-leaved(Tilia platyphyllos) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Pear, common(Pyrus communis) | Rowan(Sorbus aucuparia)",645,121.466873168945
196,841067.637455977,146090.077229035,0.852009385070095,987157.714685014,0,0.685777940193162,Bare Earth Or Grass,Unknown Or Unused Natural,[],Urban,"Local Residents, Earthwatch

",2022-02-03,205,45,No,"Alder(Alnus glutinosa) | Birch, downy(Betula pubescens) | Birch, silver(Betula pendula) | Blackthorn(Prunus spinosa) | Cherry, bird(Prunus padus) | Elder(Sambucus nigra) | Hawthorn(Crataegus monogyna) | Hazel(Corylus avellana) | Holly(Ilex aquifolium) | Hornbeam(Carpinus betulus) | Lime, small-leaved(Tilia cordata) | Oak, sessile(Quercus petraea) | Rowan(Sorbus aucuparia)",644,165.269439697266
