"location_id","location_type","samplecount"
146247,"Square plot 5 x 5 m, most habitats",1
146248,"Square plot 5 x 5 m, most habitats",1
146249,"Square plot 5 x 5 m, most habitats",1
146250,"Linear plot",1
146251,"Linear plot",1
146257,"Linear plot",9
146258,"Square plot 10 x 10 m, woodlands",2
146259,"Linear plot",2
146260,"Linear plot",2
146261,"Square plot 5 x 5 m, most habitats",2
146262,"Square plot 10 x 10 m, woodlands",2
146271,"Square plot 5 x 5 m, most habitats",12
146274,"Linear plot",11
146278,"Square plot 5 x 5 m, most habitats",11
146279,"Square plot 10 x 10 m, woodlands",2
146280,"Square plot 5 x 5 m, most habitats",2
146281,"Linear plot",2
146282,"Square plot 5 x 5 m, most habitats",2
146283,"Linear plot",2
146293,"Linear plot",9
146294,"Square plot 5 x 5 m, most habitats",9
146295,"Square plot 5 x 5 m, most habitats",7
146321,"Square plot 5 x 5 m, most habitats",2
146322,"Linear plot",2
146323,"Square plot 5 x 5 m, most habitats",2
146325,"Square plot 5 x 5 m, most habitats",7
146331,"Square plot 5 x 5 m, most habitats",6
146332,"Square plot 5 x 5 m, most habitats",2
146333,"Square plot 10 x 10 m, woodlands",4
146334,"Square plot 10 x 10 m, woodlands",4
146335,"Square plot 10 x 10 m, woodlands",5
146338,"Square plot 10 x 10 m, woodlands",2
146340,"Square plot 10 x 10 m, woodlands",2
146342,"Square plot 5 x 5 m, most habitats",4
146343,"Linear plot",3
146344,"Linear plot",7
146345,"Square plot 5 x 5 m, most habitats",3
146346,"Linear plot",2
146347,"Square plot 10 x 10 m, woodlands",2
146348,"Square plot 5 x 5 m, most habitats",2
146349,"Linear plot",5
146350,"Square plot 10 x 10 m, woodlands",5
146351,"Square plot 5 x 5 m, most habitats",6
146352,"Square plot 5 x 5 m, most habitats",4
146353,"Square plot 5 x 5 m, most habitats",5
146355,"Linear plot",16
146356,"Linear plot",10
146357,"Square plot 10 x 10 m, woodlands",18
146358,"Square plot 10 x 10 m, woodlands",8
146359,"Linear plot",16
146360,"Square plot 5 x 5 m, most habitats",7
146362,"Square plot 5 x 5 m, most habitats",7
146378,"Square plot 5 x 5 m, most habitats",13
146379,"Square plot 5 x 5 m, most habitats",13
146380,"Square plot 5 x 5 m, most habitats",13
146381,"Square plot 5 x 5 m, most habitats",13
146383,"Linear plot",7
146384,"Square plot 5 x 5 m, most habitats",13
146422,"Linear plot",2
146423,"Square plot 5 x 5 m, most habitats",4
146424,"Square plot 5 x 5 m, most habitats",13
146425,"Square plot 5 x 5 m, most habitats",11
146426,"Square plot 5 x 5 m, most habitats",11
146427,"Square plot 5 x 5 m, most habitats",11
146428,"Linear plot",3
146429,"Linear plot",2
146430,"Square plot 5 x 5 m, most habitats",10
146431,"Linear plot",11
146432,"Linear plot",10
146438,"Square plot 5 x 5 m, most habitats",5
146439,"Linear plot",2
146441,"Linear plot",2
146443,"Linear plot",1
146444,"Square plot 5 x 5 m, most habitats",1
146445,"Square plot 5 x 5 m, most habitats",1
146446,"Square plot 5 x 5 m, most habitats",1
146447,"Linear plot",1
146452,"Square plot 5 x 5 m, most habitats",6
146453,"Square plot 10 x 10 m, woodlands",11
146454,"Linear plot",11
146455,"Linear plot",11
146456,"Square plot 5 x 5 m, most habitats",11
146457,"Square plot 5 x 5 m, most habitats",11
146458,"Square plot 10 x 10 m, woodlands",1
146459,"Square plot 5 x 5 m, most habitats",1
146460,"Linear plot",3
146461,"Linear plot",3
146462,"Linear plot",3
146463,"Square plot 5 x 5 m, most habitats",12
146464,"Square plot 5 x 5 m, most habitats",12
146465,"Linear plot",11
146468,"Linear plot",12
146469,"Square plot 5 x 5 m, most habitats",12
146483,"Square plot 10 x 10 m, woodlands",2
146484,"Linear plot",2
146485,"Square plot 5 x 5 m, most habitats",2
146486,"Linear plot",2
146487,"Square plot 10 x 10 m, woodlands",2
146503,"Linear plot",2
146504,"Square plot 5 x 5 m, most habitats",2
146507,"Square plot 5 x 5 m, most habitats",2
146519,"Square plot 5 x 5 m, most habitats",4
146520,"Square plot 5 x 5 m, most habitats",4
146521,"Linear plot",4
146522,"Linear plot",4
146523,"Square plot 5 x 5 m, most habitats",2
146524,"Linear plot",11
146525,"Linear plot",11
146526,"Square plot 5 x 5 m, most habitats",11
146527,"Linear plot",11
146528,"Square plot 5 x 5 m, most habitats",11
146529,"Linear plot",4
146530,"Square plot 5 x 5 m, most habitats",4
146531,"Square plot 10 x 10 m, woodlands",4
146532,"Linear plot",4
146533,"Linear plot",4
146534,"Square plot 5 x 5 m, most habitats",7
146535,"Square plot 5 x 5 m, most habitats",8
146536,"Linear plot",4
146540,"Square plot 10 x 10 m, woodlands",15
146543,"Square plot 5 x 5 m, most habitats",15
146546,"Square plot 10 x 10 m, woodlands",15
146549,"Square plot 5 x 5 m, most habitats",2
146550,"Square plot 5 x 5 m, most habitats",2
146551,"Linear plot",2
146552,"Linear plot",2
146553,"Linear plot",2
146564,"Square plot 5 x 5 m, most habitats",7
146565,"Square plot 5 x 5 m, most habitats",7
146566,"Square plot 5 x 5 m, most habitats",7
146567,"Linear plot",7
146568,"Linear plot",2
146569,"Square plot 5 x 5 m, most habitats",2
146570,"Square plot 5 x 5 m, most habitats",2
146571,"Square plot 10 x 10 m, woodlands",2
146572,"Linear plot",2
146573,"Square plot 10 x 10 m, woodlands",1
146574,"Square plot 5 x 5 m, most habitats",1
146575,"Linear plot",1
146576,"Linear plot",1
146577,"Square plot 5 x 5 m, most habitats",1
146578,"Square plot 10 x 10 m, woodlands",14
146579,"Square plot 5 x 5 m, most habitats",3
146580,"Linear plot",3
146581,"Linear plot",3
146582,"Linear plot",3
146590,"Square plot 5 x 5 m, most habitats",5
146591,"Square plot 5 x 5 m, most habitats",5
146592,"Linear plot",6
146593,"Linear plot",5
146594,"Square plot 10 x 10 m, woodlands",6
146595,"Square plot 5 x 5 m, most habitats",14
146597,"Square plot 5 x 5 m, most habitats",1
146598,"Square plot 5 x 5 m, most habitats",1
146599,"Square plot 5 x 5 m, most habitats",14
146601,"Square plot 5 x 5 m, most habitats",1
146602,"Square plot 5 x 5 m, most habitats",11
146603,"Linear plot",1
146605,"Square plot 5 x 5 m, most habitats",14
146608,"Linear plot",9
146610,"Square plot 5 x 5 m, most habitats",8
146611,"Square plot 5 x 5 m, most habitats",8
146612,"Square plot 5 x 5 m, most habitats",8
146615,"Square plot 5 x 5 m, most habitats",8
146619,"Square plot 5 x 5 m, most habitats",6
146620,"Square plot 5 x 5 m, most habitats",5
146621,"Linear plot",4
146622,"Square plot 5 x 5 m, most habitats",6
146623,"Linear plot",5
146624,"Square plot 5 x 5 m, most habitats",5
146625,"Linear plot",3
146626,"Square plot 5 x 5 m, most habitats",3
146627,"Square plot 5 x 5 m, most habitats",3
146628,"Linear plot",3
146629,"Square plot 5 x 5 m, most habitats",3
146630,"Linear plot",4
146631,"Linear plot",4
146632,"Square plot 5 x 5 m, most habitats",4
146633,"Linear plot",4
146634,"Square plot 5 x 5 m, most habitats",4
146641,"Linear plot",4
146647,"Linear plot",2
146652,"Linear plot",2
146653,"Linear plot",15
146654,"Linear plot",14
146655,"Square plot 5 x 5 m, most habitats",12
146656,"Linear plot",2
146657,"Square plot 5 x 5 m, most habitats",12
146659,"Linear plot",2
146662,"Square plot 5 x 5 m, most habitats",11
146666,"Linear plot",9
146708,"Square plot 5 x 5 m, most habitats",12
146709,"Square plot 10 x 10 m, woodlands",9
146717,"Linear plot",8
146718,"Linear plot",17
146719,"Linear plot",17
146720,"Square plot 5 x 5 m, most habitats",8
146721,"Linear plot",18
146722,"Square plot 5 x 5 m, most habitats",8
146723,"Square plot 5 x 5 m, most habitats",4
146724,"Square plot 5 x 5 m, most habitats",9
146727,"Square plot 5 x 5 m, most habitats",2
146728,"Square plot 5 x 5 m, most habitats",2
146729,"Square plot 5 x 5 m, most habitats",2
146730,"Square plot 5 x 5 m, most habitats",2
146732,"Linear plot",2
146733,"Linear plot",8
146735,"Square plot 5 x 5 m, most habitats",8
146736,"Square plot 5 x 5 m, most habitats",8
146737,"Square plot 5 x 5 m, most habitats",8
146738,"Square plot 5 x 5 m, most habitats",6
146740,"Square plot 5 x 5 m, most habitats",5
146742,"Square plot 5 x 5 m, most habitats",9
146745,"Square plot 5 x 5 m, most habitats",8
146746,"Square plot 5 x 5 m, most habitats",8
146747,"Square plot 5 x 5 m, most habitats",8
146749,"Linear plot",8
146750,"Linear plot",8
146760,"Linear plot",9
146761,"Square plot 5 x 5 m, most habitats",1
146762,"Linear plot",6
146763,"Square plot 5 x 5 m, most habitats",7
146764,"Square plot 10 x 10 m, woodlands",6
146765,"Linear plot",6
146767,"Square plot 5 x 5 m, most habitats",6
146787,"Square plot 5 x 5 m, most habitats",17
146794,"Linear plot",13
146795,"Linear plot",13
146796,"Linear plot",16
146807,"Square plot 5 x 5 m, most habitats",10
146808,"Linear plot",8
146809,"Linear plot",9
146810,"Square plot 5 x 5 m, most habitats",8
146811,"Square plot 5 x 5 m, most habitats",8
146812,"Square plot 10 x 10 m, woodlands",4
146813,"Linear plot",2
146814,"Linear plot",4
146816,"Square plot 5 x 5 m, most habitats",9
146817,"Square plot 10 x 10 m, woodlands",9
146818,"Linear plot",1
146819,"Linear plot",1
146820,"Square plot 10 x 10 m, woodlands",1
146821,"Square plot 10 x 10 m, woodlands",1
146822,"Square plot 10 x 10 m, woodlands",1
146823,"Square plot 5 x 5 m, most habitats",3
146824,"Square plot 5 x 5 m, most habitats",2
146825,"Square plot 10 x 10 m, woodlands",6
146826,"Square plot 5 x 5 m, most habitats",3
146827,"Square plot 5 x 5 m, most habitats",3
146828,"Square plot 5 x 5 m, most habitats",3
146830,"Square plot 5 x 5 m, most habitats",2
146831,"Linear plot",3
146832,"Linear plot",16
146833,"Linear plot",3
146834,"Linear plot",3
146840,"Square plot 5 x 5 m, most habitats",16
146842,"Square plot 5 x 5 m, most habitats",9
146843,"Linear plot",13
146846,"Square plot 5 x 5 m, most habitats",15
146848,"Square plot 5 x 5 m, most habitats",9
146849,"Square plot 10 x 10 m, woodlands",13
146850,"Linear plot",13
146851,"Linear plot",1
146853,"Linear plot",10
146855,"Square plot 10 x 10 m, woodlands",4
146856,"Square plot 5 x 5 m, most habitats",9
146857,"Square plot 10 x 10 m, woodlands",4
146864,"Linear plot",12
146865,"Square plot 10 x 10 m, woodlands",6
146866,"Linear plot",4
146867,"Linear plot",6
146868,"Linear plot",6
146869,"Linear plot",6
146870,"Square plot 5 x 5 m, most habitats",4
146871,"Linear plot",6
146872,"Square plot 5 x 5 m, most habitats",3
146873,"Linear plot",3
146876,"Linear plot",2
146877,"Linear plot",2
146878,"Square plot 5 x 5 m, most habitats",2
146879,"Linear plot",2
146880,"Square plot 10 x 10 m, woodlands",2
146881,"Square plot 5 x 5 m, most habitats",1
146882,"Linear plot",2
146884,"Square plot 5 x 5 m, most habitats",1
146885,"Square plot 5 x 5 m, most habitats",1
146886,"Square plot 10 x 10 m, woodlands",11
146887,"Square plot 10 x 10 m, woodlands",12
146891,"Square plot 10 x 10 m, woodlands",11
146895,"Square plot 5 x 5 m, most habitats",14
146920,"Square plot 5 x 5 m, most habitats",1
146933,"Square plot 5 x 5 m, most habitats",11
146935,"Square plot 5 x 5 m, most habitats",11
146936,"Square plot 5 x 5 m, most habitats",11
146937,"Square plot 5 x 5 m, most habitats",11
146938,"Linear plot",4
146939,"Linear plot",12
146940,"Linear plot",9
146943,"Square plot 10 x 10 m, woodlands",3
146944,"Linear plot",3
146945,"Square plot 5 x 5 m, most habitats",3
146946,"Square plot 5 x 5 m, most habitats",3
146947,"Square plot 5 x 5 m, most habitats",1
146948,"Linear plot",1
146949,"Square plot 5 x 5 m, most habitats",1
146950,"Square plot 5 x 5 m, most habitats",1
146951,"Linear plot",1
146977,"Linear plot",15
146978,"Square plot 10 x 10 m, woodlands",15
146979,"Square plot 5 x 5 m, most habitats",14
146980,"Linear plot",14
146981,"Linear plot",14
146995,"Square plot 10 x 10 m, woodlands",2
146999,"Linear plot",2
147001,"Linear plot",1
147002,"Linear plot",2
147003,"Square plot 5 x 5 m, most habitats",1
147005,"Square plot 10 x 10 m, woodlands",13
147009,"Linear plot",2
147010,"Square plot 5 x 5 m, most habitats",2
147011,"Square plot 5 x 5 m, most habitats",2
147014,"Linear plot",16
147015,"Square plot 5 x 5 m, most habitats",15
147016,"Square plot 5 x 5 m, most habitats",15
147017,"Linear plot",15
147018,"Square plot 10 x 10 m, woodlands",13
147019,"Linear plot",14
147020,"Square plot 10 x 10 m, woodlands",9
147021,"Linear plot",9
147022,"Square plot 5 x 5 m, most habitats",9
147023,"Square plot 5 x 5 m, most habitats",9
147024,"Linear plot",9
147025,"Square plot 10 x 10 m, woodlands",2
147026,"Linear plot",4
147027,"Linear plot",4
147028,"Linear plot",4
147029,"Linear plot",5
147030,"Square plot 5 x 5 m, most habitats",4
147031,"Linear plot",3
147032,"Linear plot",4
147033,"Square plot 5 x 5 m, most habitats",4
147036,"Square plot 5 x 5 m, most habitats",3
147037,"Square plot 5 x 5 m, most habitats",3
147038,"Linear plot",3
147039,"Square plot 5 x 5 m, most habitats",7
147040,"Linear plot",6
147044,"Linear plot",9
147045,"Square plot 5 x 5 m, most habitats",9
147046,"Square plot 5 x 5 m, most habitats",9
147047,"Linear plot",9
147048,"Square plot 5 x 5 m, most habitats",9
147049,"Linear plot",6
147050,"Linear plot",6
147051,"Linear plot",6
147052,"Linear plot",6
147053,"Linear plot",6
147054,"Square plot 5 x 5 m, most habitats",6
147055,"Linear plot",5
147056,"Square plot 5 x 5 m, most habitats",6
147059,"Linear plot",2
147060,"Square plot 5 x 5 m, most habitats",2
147061,"Linear plot",2
147062,"Square plot 5 x 5 m, most habitats",2
147063,"Square plot 5 x 5 m, most habitats",2
147064,"Square plot 10 x 10 m, woodlands",11
147065,"Square plot 5 x 5 m, most habitats",4
147067,"Linear plot",4
147068,"Square plot 10 x 10 m, woodlands",4
147069,"Square plot 5 x 5 m, most habitats",4
147071,"Square plot 10 x 10 m, woodlands",1
147072,"Square plot 5 x 5 m, most habitats",4
147073,"Square plot 10 x 10 m, woodlands",1
147074,"Linear plot",5
147075,"Square plot 5 x 5 m, most habitats",11
147076,"Linear plot",11
147077,"Square plot 5 x 5 m, most habitats",10
147078,"Linear plot",11
147079,"Linear plot",10
147085,"Linear plot",4
147086,"Square plot 5 x 5 m, most habitats",5
147088,"Square plot 5 x 5 m, most habitats",5
147089,"Linear plot",1
147090,"Linear plot",4
147091,"Square plot 5 x 5 m, most habitats",4
147092,"Square plot 5 x 5 m, most habitats",4
147093,"Square plot 10 x 10 m, woodlands",4
147094,"Square plot 5 x 5 m, most habitats",4
147095,"Square plot 5 x 5 m, most habitats",4
147097,"Square plot 10 x 10 m, woodlands",4
147098,"Linear plot",2
147099,"Linear plot",2
147100,"Linear plot",2
147105,"Linear plot",2
147114,"Square plot 5 x 5 m, most habitats",4
147115,"Square plot 10 x 10 m, woodlands",3
147116,"Square plot 5 x 5 m, most habitats",2
147117,"Linear plot",4
147119,"Square plot 5 x 5 m, most habitats",1
147120,"Square plot 5 x 5 m, most habitats",1
147121,"Square plot 5 x 5 m, most habitats",1
147122,"Linear plot",5
147125,"Linear plot",8
147126,"Square plot 5 x 5 m, most habitats",7
147127,"Linear plot",5
147129,"Square plot 5 x 5 m, most habitats",6
147131,"Linear plot",3
147132,"Linear plot",3
147134,"Square plot 5 x 5 m, most habitats",3
147136,"Linear plot",4
147138,"Linear plot",4
147147,"Linear plot",2
147159,"Square plot 10 x 10 m, woodlands",6
147164,"Linear plot",6
147168,"Linear plot",10
147169,"Square plot 5 x 5 m, most habitats",10
147170,"Square plot 5 x 5 m, most habitats",5
147171,"Square plot 5 x 5 m, most habitats",5
147172,"Linear plot",5
147173,"Linear plot",7
147174,"Square plot 10 x 10 m, woodlands",10
147175,"Square plot 5 x 5 m, most habitats",5
147176,"Linear plot",10
147177,"Square plot 5 x 5 m, most habitats",10
147178,"Linear plot",7
147181,"Square plot 10 x 10 m, woodlands",1
147186,"Square plot 5 x 5 m, most habitats",5
147187,"Linear plot",5
147188,"Square plot 5 x 5 m, most habitats",5
147189,"Square plot 5 x 5 m, most habitats",5
147190,"Square plot 5 x 5 m, most habitats",12
147191,"Linear plot",10
147192,"Linear plot",9
147193,"Square plot 10 x 10 m, woodlands",3
147194,"Square plot 5 x 5 m, most habitats",3
147195,"Linear plot",4
147196,"Square plot 5 x 5 m, most habitats",13
147197,"Square plot 5 x 5 m, most habitats",13
147198,"Square plot 5 x 5 m, most habitats",13
147199,"Square plot 5 x 5 m, most habitats",4
147200,"Linear plot",2
147201,"Square plot 5 x 5 m, most habitats",5
147202,"Square plot 10 x 10 m, woodlands",2
147203,"Square plot 5 x 5 m, most habitats",2
147204,"Square plot 5 x 5 m, most habitats",2
147205,"Square plot 5 x 5 m, most habitats",2
147206,"Square plot 5 x 5 m, most habitats",2
147212,"Square plot 5 x 5 m, most habitats",1
147214,"Square plot 5 x 5 m, most habitats",1
147215,"Square plot 5 x 5 m, most habitats",1
147216,"Linear plot",5
147217,"Linear plot",1
147218,"Square plot 5 x 5 m, most habitats",6
147219,"Linear plot",4
147220,"Linear plot",4
147221,"Square plot 10 x 10 m, woodlands",4
147222,"Square plot 10 x 10 m, woodlands",3
147223,"Linear plot",4
147229,"Linear plot",7
147231,"Square plot 5 x 5 m, most habitats",1
147232,"Square plot 10 x 10 m, woodlands",5
147233,"Linear plot",7
147234,"Square plot 5 x 5 m, most habitats",7
147236,"Square plot 5 x 5 m, most habitats",1
147241,"Linear plot",10
147242,"Square plot 10 x 10 m, woodlands",11
147243,"Square plot 10 x 10 m, woodlands",10
147244,"Linear plot",10
147245,"Square plot 10 x 10 m, woodlands",1
147246,"Linear plot",10
147247,"Square plot 10 x 10 m, woodlands",2
147248,"Square plot 5 x 5 m, most habitats",2
147249,"Linear plot",2
147250,"Square plot 5 x 5 m, most habitats",2
147255,"Linear plot",5
147256,"Linear plot",5
147257,"Square plot 5 x 5 m, most habitats",5
147258,"Square plot 10 x 10 m, woodlands",5
147259,"Linear plot",12
147260,"Linear plot",6
147261,"Linear plot",12
147262,"Square plot 5 x 5 m, most habitats",12
147263,"Square plot 5 x 5 m, most habitats",11
147264,"Square plot 5 x 5 m, most habitats",12
147267,"Linear plot",3
147268,"Square plot 10 x 10 m, woodlands",5
147269,"Linear plot",5
147270,"Square plot 5 x 5 m, most habitats",2
147271,"Square plot 5 x 5 m, most habitats",2
147272,"Square plot 5 x 5 m, most habitats",2
147273,"Square plot 10 x 10 m, woodlands",2
147274,"Square plot 10 x 10 m, woodlands",2
147275,"Square plot 5 x 5 m, most habitats",2
147276,"Linear plot",2
147277,"Square plot 5 x 5 m, most habitats",2
147278,"Linear plot",2
147279,"Linear plot",2
147280,"Linear plot",2
147281,"Square plot 5 x 5 m, most habitats",2
147282,"Square plot 5 x 5 m, most habitats",2
147283,"Linear plot",2
147284,"Linear plot",2
147285,"Linear plot",2
147286,"Square plot 5 x 5 m, most habitats",1
147296,"Square plot 10 x 10 m, woodlands",2
147297,"Linear plot",1
147298,"Linear plot",4
147299,"Square plot 5 x 5 m, most habitats",4
147300,"Linear plot",4
147301,"Square plot 5 x 5 m, most habitats",2
147302,"Square plot 5 x 5 m, most habitats",2
147303,"Square plot 5 x 5 m, most habitats",2
147304,"Linear plot",2
147305,"Linear plot",2
147306,"Linear plot",2
147307,"Square plot 10 x 10 m, woodlands",2
147308,"Square plot 5 x 5 m, most habitats",1
147309,"Linear plot",2
147310,"Square plot 5 x 5 m, most habitats",2
147311,"Linear plot",2
147312,"Linear plot",2
147313,"Square plot 5 x 5 m, most habitats",2
147314,"Linear plot",13
147315,"Square plot 5 x 5 m, most habitats",11
147316,"Square plot 5 x 5 m, most habitats",11
147317,"Square plot 5 x 5 m, most habitats",13
147318,"Linear plot",13
147320,"Square plot 10 x 10 m, woodlands",2
147321,"Square plot 10 x 10 m, woodlands",2
147322,"Square plot 5 x 5 m, most habitats",2
147323,"Linear plot",4
147324,"Linear plot",2
147325,"Linear plot",2
147327,"Square plot 5 x 5 m, most habitats",11
147330,"Linear plot",4
147338,"Linear plot",1
147339,"Square plot 5 x 5 m, most habitats",1
147340,"Linear plot",1
147341,"Square plot 5 x 5 m, most habitats",2
147342,"Square plot 5 x 5 m, most habitats",11
147343,"Square plot 5 x 5 m, most habitats",1
147344,"Square plot 5 x 5 m, most habitats",1
147347,"Square plot 10 x 10 m, woodlands",7
147349,"Square plot 10 x 10 m, woodlands",6
147367,"Linear plot",11
147416,"Square plot 10 x 10 m, woodlands",3
147429,"Square plot 10 x 10 m, woodlands",4
147430,"Linear plot",2
147431,"Linear plot",1
147432,"Square plot 5 x 5 m, most habitats",3
147433,"Square plot 10 x 10 m, woodlands",4
147434,"Linear plot",1
147435,"Square plot 5 x 5 m, most habitats",1
147436,"Square plot 10 x 10 m, woodlands",1
147437,"Linear plot",1
147438,"Square plot 5 x 5 m, most habitats",2
147439,"Square plot 5 x 5 m, most habitats",2
147440,"Linear plot",2
147441,"Square plot 5 x 5 m, most habitats",2
147442,"Linear plot",2
147443,"Square plot 10 x 10 m, woodlands",2
147449,"Square plot 5 x 5 m, most habitats",2
147452,"Linear plot",1
147453,"Square plot 5 x 5 m, most habitats",1
147454,"Square plot 10 x 10 m, woodlands",1
147455,"Square plot 5 x 5 m, most habitats",1
147456,"Linear plot",1
147459,"Linear plot",1
147460,"Square plot 5 x 5 m, most habitats",2
147461,"Square plot 5 x 5 m, most habitats",2
147462,"Linear plot",10
147463,"Square plot 5 x 5 m, most habitats",10
147464,"Linear plot",10
147465,"Square plot 5 x 5 m, most habitats",10
147466,"Square plot 5 x 5 m, most habitats",2
147471,"Square plot 10 x 10 m, woodlands",6
147485,"Linear plot",7
147486,"Square plot 5 x 5 m, most habitats",6
147487,"Linear plot",6
147488,"Square plot 5 x 5 m, most habitats",6
147508,"Square plot 5 x 5 m, most habitats",2
147509,"Linear plot",2
147537,"Linear plot",12
147538,"Linear plot",12
147647,"Linear plot",1
147692,"Linear plot",2
147693,"Square plot 10 x 10 m, woodlands",2
147798,"Square plot 5 x 5 m, most habitats",2
147799,"Linear plot",2
147962,"Square plot 5 x 5 m, most habitats",8
147963,"Linear plot",8
147964,"Linear plot",8
148117,"Square plot 10 x 10 m, woodlands",2
148119,"Square plot 5 x 5 m, most habitats",2
148120,"Square plot 5 x 5 m, most habitats",2
148121,"Linear plot",1
148122,"Linear plot",2
148302,"Linear plot",1
148320,"Linear plot",2
148321,"Linear plot",2
148322,"Square plot 10 x 10 m, woodlands",2
148323,"Square plot 5 x 5 m, most habitats",2
148324,"Square plot 5 x 5 m, most habitats",2
148686,"Linear plot",3
148687,"Square plot 5 x 5 m, most habitats",3
148688,"Linear plot",1
148689,"Square plot 5 x 5 m, most habitats",3
148690,"Square plot 5 x 5 m, most habitats",3
151084,"Square plot 10 x 10 m, woodlands",1
151085,"Square plot 5 x 5 m, most habitats",1
151087,"Linear plot",1
151392,"Square plot 10 x 10 m, woodlands",6
151393,"Linear plot",6
151394,"Square plot 5 x 5 m, most habitats",6
151395,"Square plot 10 x 10 m, woodlands",6
151431,"Square plot 5 x 5 m, most habitats",2
151691,"Square plot 10 x 10 m, woodlands",6
151692,"Square plot 10 x 10 m, woodlands",6
151693,"Square plot 5 x 5 m, most habitats",6
151694,"Linear plot",6
151695,"Linear plot",6
154986,"Square plot 5 x 5 m, most habitats",2
154989,"Linear plot",2
154990,"Square plot 5 x 5 m, most habitats",2
154991,"Square plot 5 x 5 m, most habitats",2
154992,"Square plot 5 x 5 m, most habitats",2
158190,"Square plot 10 x 10 m, woodlands",12
158192,"Square plot 5 x 5 m, most habitats",12
158194,"Linear plot",12
158703,"Square plot 5 x 5 m, most habitats",4
158714,"Linear plot",12
158715,"Square plot 10 x 10 m, woodlands",12
158716,"Square plot 5 x 5 m, most habitats",12
158854,"Linear plot",1
158861,"Linear plot",4
158862,"Linear plot",4
158878,"Linear plot",4
158879,"Square plot 5 x 5 m, most habitats",4
158880,"Linear plot",4
158884,"Square plot 5 x 5 m, most habitats",3
158893,"Linear plot",13
158894,"Square plot 5 x 5 m, most habitats",13
158898,"Square plot 5 x 5 m, most habitats",6
158899,"Linear plot",6
158900,"Square plot 10 x 10 m, woodlands",6
158901,"Square plot 10 x 10 m, woodlands",13
158902,"Square plot 5 x 5 m, most habitats",6
158903,"Square plot 10 x 10 m, woodlands",6
158908,"Square plot 5 x 5 m, most habitats",3
158953,"Square plot 5 x 5 m, most habitats",4
158991,"Square plot 5 x 5 m, most habitats",2
158994,"Linear plot",2
158995,"Square plot 5 x 5 m, most habitats",2
158996,"Square plot 5 x 5 m, most habitats",2
158997,"Linear plot",2
159041,"Linear plot",8
159042,"Square plot 10 x 10 m, woodlands",11
159043,"Linear plot",12
159044,"Square plot 5 x 5 m, most habitats",9
159055,"Linear plot",7
159056,"Linear plot",7
159057,"Square plot 5 x 5 m, most habitats",7
159070,"Square plot 10 x 10 m, woodlands",5
159071,"Square plot 5 x 5 m, most habitats",4
159073,"Linear plot",5
159149,"Square plot 5 x 5 m, most habitats",3
159160,"Linear plot",3
159161,"Square plot 10 x 10 m, woodlands",1
159165,"Square plot 5 x 5 m, most habitats",1
159173,"Linear plot",1
159195,"Square plot 5 x 5 m, most habitats",2
159196,"Square plot 10 x 10 m, woodlands",2
159205,"Square plot 10 x 10 m, woodlands",3
159206,"Square plot 5 x 5 m, most habitats",3
159208,"Linear plot",3
159209,"Square plot 5 x 5 m, most habitats",3
159211,"Linear plot",3
159212,"Square plot 5 x 5 m, most habitats",2
159213,"Linear plot",3
159215,"Square plot 10 x 10 m, woodlands",3
159216,"Square plot 5 x 5 m, most habitats",3
159223,"Linear plot",6
159237,"Square plot 5 x 5 m, most habitats",5
159238,"Linear plot",2
159239,"Square plot 5 x 5 m, most habitats",2
159241,"Square plot 5 x 5 m, most habitats",1
159253,"Square plot 10 x 10 m, woodlands",4
159254,"Linear plot",3
159259,"Linear plot",2
159260,"Linear plot",2
159265,"Square plot 5 x 5 m, most habitats",2
159284,"Square plot 10 x 10 m, woodlands",9
159297,"Linear plot",8
159299,"Square plot 5 x 5 m, most habitats",4
159301,"Square plot 5 x 5 m, most habitats",4
159302,"Square plot 5 x 5 m, most habitats",12
159304,"Square plot 5 x 5 m, most habitats",10
159305,"Linear plot",12
159306,"Square plot 5 x 5 m, most habitats",12
159326,"Square plot 5 x 5 m, most habitats",1
159327,"Linear plot",1
159365,"Square plot 5 x 5 m, most habitats",3
159369,"Linear plot",3
159370,"Square plot 10 x 10 m, woodlands",4
159371,"Linear plot",5
159372,"Square plot 5 x 5 m, most habitats",5
159381,"Square plot 5 x 5 m, most habitats",10
159383,"Linear plot",10
159418,"Square plot 5 x 5 m, most habitats",9
159430,"Square plot 10 x 10 m, woodlands",5
159431,"Square plot 5 x 5 m, most habitats",4
159432,"Square plot 5 x 5 m, most habitats",5
159434,"Square plot 5 x 5 m, most habitats",5
159507,"Linear plot",15
159508,"Linear plot",14
159509,"Square plot 5 x 5 m, most habitats",14
159510,"Linear plot",14
159512,"Linear plot",14
159900,"Square plot 5 x 5 m, most habitats",1
159901,"Linear plot",1
159902,"Square plot 5 x 5 m, most habitats",1
159968,"Square plot 5 x 5 m, most habitats",2
159970,"Square plot 10 x 10 m, woodlands",2
159974,"Linear plot",2
159976,"Linear plot",2
159977,"Square plot 5 x 5 m, most habitats",3
159978,"Square plot 5 x 5 m, most habitats",2
160009,"Linear plot",12
160124,"Linear plot",2
160136,"Linear plot",3
160154,"Square plot 5 x 5 m, most habitats",9
160157,"Square plot 5 x 5 m, most habitats",1
160200,"Square plot 5 x 5 m, most habitats",1
160211,"Linear plot",10
